"indicador","ano","município","valor"
"Matrícula em distorção no ensino fundamental","2008","Maracanaú","5089"
"Matrícula em distorção no ensino fundamental","2008","Maranguape","1806"
"Matrícula em distorção no ensino fundamental","2008","Marco","1197"
"Matrícula em distorção no ensino fundamental","2008","Martinópole","385"
"Matrícula em distorção no ensino fundamental","2008","Massapê","990"
"Matrícula em distorção no ensino fundamental","2008","Mauriti","1263"
"Matrícula em distorção no ensino fundamental","2008","Meruoca","554"
"Matrícula em distorção no ensino fundamental","2008","Milagres","861"
"Matrícula em distorção no ensino fundamental","2008","Milhã","223"
"Matrícula em distorção no ensino fundamental","2008","Miraíma","680"
"Matrícula em distorção no ensino fundamental","2008","Missão Velha","682"
"Matrícula em distorção no ensino fundamental","2008","Mombaça","1133"
"Matrícula em distorção no ensino fundamental","2008","Monsenhor Tabosa","761"
"Matrícula em distorção no ensino fundamental","2008","Morada Nova","1936"
"Matrícula em distorção no ensino fundamental","2008","Moraújo","213"
"Matrícula em distorção no ensino fundamental","2008","Morrinhos","303"
"Matrícula em distorção no ensino fundamental","2008","Mucambo","568"
"Matrícula em distorção no ensino fundamental","2008","Mulungu","286"
"Matrícula em distorção no ensino fundamental","2008","Nova Olinda","400"
"Matrícula em distorção no ensino fundamental","2008","Nova Russas","1065"
"Matrícula em distorção no ensino fundamental","2008","Novo Oriente","522"
"Matrícula em distorção no ensino fundamental","2008","Ocara","749"
"Matrícula em distorção no ensino fundamental","2008","Orós","516"
"Matrícula em distorção no ensino fundamental","2008","Pacajus","1759"
"Matrícula em distorção no ensino fundamental","2008","Pacatuba","1093"
"Matrícula em distorção no ensino fundamental","2008","Pacoti","216"
"Matrícula em distorção no ensino fundamental","2008","Pacujá","188"
"Matrícula em distorção no ensino fundamental","2008","Palhano","135"
"Matrícula em distorção no ensino fundamental","2008","Palmácia","247"
"Matrícula em distorção no ensino fundamental","2008","Paracuru","767"
"Matrícula em distorção no ensino fundamental","2008","Paraipaba","493"
"Matrícula em distorção no ensino fundamental","2008","Parambu","309"
"Matrícula em distorção no ensino fundamental","2008","Paramoti","415"
"Matrícula em distorção no ensino fundamental","2008","Pedra Branca","956"
"Matrícula em distorção no ensino fundamental","2008","Penaforte","209"
"Matrícula em distorção no ensino fundamental","2008","Pentecoste","729"
"Matrícula em distorção no ensino fundamental","2008","Pereiro","475"
"Matrícula em distorção no ensino fundamental","2008","Pindoretama","480"
"Matrícula em distorção no ensino fundamental","2008","Piquet Carneiro","320"
"Matrícula em distorção no ensino fundamental","2008","Pires Ferreira","448"
"Matrícula em distorção no ensino fundamental","2008","Poranga","410"
"Matrícula em distorção no ensino fundamental","2008","Porteiras","423"
"Matrícula em distorção no ensino fundamental","2008","Potengi","342"
"Matrícula em distorção no ensino fundamental","2008","Potiretama","159"
"Matrícula em distorção no ensino fundamental","2008","Quiterianópolis","310"
"Matrícula em distorção no ensino fundamental","2008","Quixadá","1114"
"Matrícula em distorção no ensino fundamental","2008","Quixelô","259"
"Matrícula em distorção no ensino fundamental","2008","Quixeramobim","2985"
"Matrícula em distorção no ensino fundamental","2008","Quixeré","313"
"Matrícula em distorção no ensino fundamental","2008","Redenção","726"
"Matrícula em distorção no ensino fundamental","2008","Reriutaba","616"
"Matrícula em distorção no ensino fundamental","2008","Russas","1536"
"Matrícula em distorção no ensino fundamental","2008","Saboeiro","812"
"Matrícula em distorção no ensino fundamental","2008","Salitre","912"
"Matrícula em distorção no ensino fundamental","2008","Santa Quitéria","1512"
